Forename,Surname,Description on ballot paper,Constituency Name,PANO,Votes,Share (%),Change,Incumbent?,Constituency ID ,Region ID,County ,Region ,Country ,Constituency type,Party name identifier,Party abbreviation
Jane,Dodds,Welsh Liberal Democrats - Democratiaid Rhyddfrydol Cymru,Montgomeryshire,402,9879,29.3,-8.6,,W07000063,W92000004,Powys,Wales,Wales,County,Liberal Democrat,LD
Des,Parkinson,UK Independence Party (UK I P),Montgomeryshire,402,3769,11.2,7.8,,W07000063,W92000004,Powys,Wales,Wales,County,UK Independence Party,UKIP
Martyn,Singleton,Welsh Labour/Llafur Cymru,Montgomeryshire,402,1900,5.6,-1.5,,W07000063,W92000004,Powys,Wales,Wales,County,Labour,Lab
Ann,Griffith,Plaid Cymru - The Party of Wales,Montgomeryshire,402,1745,5.2,-3.1,,W07000063,W92000004,Powys,Wales,Wales,County,Plaid Cymru,PC
Richard,Chaloner,Green Party/Plaid Werdd,Montgomeryshire,402,1260,3.7,,,W07000063,W92000004,Powys,Wales,Wales,County,Green,Green
Mark,Williams,Welsh Liberal Democrats - Democratiaid Rhyddfrydol Cymru,Ceredigion,135,13414,35.9,-14.2,MP,W07000064,W92000004,Dyfed,Wales,Wales,County,Liberal Democrat,LD
Mike,Parker,Plaid Cymru - The Party of Wales,Ceredigion,135,10347,27.7,-0.6,,W07000064,W92000004,Dyfed,Wales,Wales,County,Plaid Cymru,PC
Henrietta,Hensher,Welsh Conservative Party Candidate/Ymgeisydd Plaid Geidwadol Cymru,Ceredigion,135,4123,11,-0.5,,W07000064,W92000004,Dyfed,Wales,Wales,County,Conservative,Con
Gethin,James,UK Independence Party (UKIP),Ceredigion,135,3829,10.2,7.7,,W07000064,W92000004,Dyfed,Wales,Wales,County,UK Independence Party,UKIP
Huw,Thomas,Welsh Labour/Llafur Cymru,Ceredigion,135,3615,9.7,3.9,,W07000064,W92000004,Dyfed,Wales,Wales,County,Labour,Lab
Daniel,Thompson,The Green Party/Plaid Werdd,Ceredigion,135,2088,5.6,3.8,,W07000064,W92000004,Dyfed,Wales,Wales,County,Green,Green
Stephen,Crabb,Welsh Conservative Party Candidate/Ymgeisydd Plaid Geidwadol Cymru,Preseli Pembrokeshire,459,16383,40.4,-2.4,MP,W07000065,W92000004,Dyfed,Wales,Wales,County,Conservative,Con
Paul,Miller,Welsh Labour/Llafur Cymru,Preseli Pembrokeshire,459,11414,28.1,-3,,W07000065,W92000004,Dyfed,Wales,Wales,County,Labour,Lab
Howard,Lillyman,UK Independence Party (UKIP),Preseli Pembrokeshire,459,4257,10.5,8.2,,W07000065,W92000004,Dyfed,Wales,Wales,County,UK Independence Party,UKIP
Chris,Overton,Independent save Withybush Save Lives/ Annibynnol Achub llwynhelyg Achub Bywyda,Preseli Pembrokeshire,459,3729,9.2,,,W07000065,W92000004,Dyfed,Wales,Wales,County,Independent Save Withybush Save Lives,ISWSL
John,Osmond,Plaid Cymru - The Party of Wales,Preseli Pembrokeshire,459,2518,6.2,-3,,W07000065,W92000004,Dyfed,Wales,Wales,County,Plaid Cymru,PC
Frances,Bryant,The Green Party/Plaid Werdd,Preseli Pembrokeshire,459,1452,3.6,,,W07000065,W92000004,Dyfed,Wales,Wales,County,Green,Green
Nick,Tregoning,Welsh Liberal Democrats - Democratiaid Rhyddfrydol Cymru,Preseli Pembrokeshire,459,780,1.9,-12.6,,W07000065,W92000004,Dyfed,Wales,Wales,County,Liberal Democrat,LD
Rodney,Maile,The New Society of Worth,Preseli Pembrokeshire,459,23,0.1,,,W07000065,W92000004,Dyfed,Wales,Wales,County,The New Society of Worth,NSW
Simon,Hart,Welsh Conservative Party Candidate/Ymgeisydd Plaid Geidwadol Cymru,Carmarthen West and South Pembrokeshire,132,17626,43.7,2.6,MP,W07000066,W92000004,Dyfed,Wales,Wales,County,Conservative,Con
Delyth,Evans,Welsh Labour/Llafur Cymru,Carmarthen West and South Pembrokeshire,132,11572,28.7,-4,,W07000066,W92000004,Dyfed,Wales,Wales,County,Labour,Lab
John,Atkinson,UK Independence Party (UKIP),Carmarthen West and South Pembrokeshire,132,4698,11.6,8.8,,W07000066,W92000004,Dyfed,Wales,Wales,County,UK Independence Party,UKIP
Elwyn,Williams,Plaid Cymru - The Party of Wales,Carmarthen West and South Pembrokeshire,132,4201,10.4,0,,W07000066,W92000004,Dyfed,Wales,Wales,County,Plaid Cymru,PC
Gary,Tapley,The Green Party/Plaid Werdd,Carmarthen West and South Pembrokeshire,132,1290,3.2,,,W07000066,W92000004,Dyfed,Wales,Wales,County,Green,Green
Selwyn,Runnett,Welsh Liberal Democrats - Democratiaid Rhyddfrydol Cymru,Carmarthen West and South Pembrokeshire,132,963,2.4,-9.7,,W07000066,W92000004,Dyfed,Wales,Wales,County,Liberal Democrat,LD
David,Edwards,Plaid Cymru - Carmarthenshire's Voice,Carmarthen East and Dinefwr,131,15140,38.4,2.8,MP,W07000067,W92000004,Dyfed,Wales,Wales,County,Plaid Cymru,PC
Calum,Higgins,Welsh Labour/Llafur Cymru,Carmarthen East and Dinefwr,131,9541,24.2,-2.3,,W07000067,W92000004,Dyfed,Wales,Wales,County,Labour,Lab
Matthew,Paul,Welsh Conservative Party Candidate/Ymgeisydd Plaid Geidwadol Cymru,Carmarthen East and Dinefwr,131,8336,21.2,-1.2,,W07000067,W92000004,Dyfed,Wales,Wales,County,Conservative,Con
Jasmine,Woodward,UK Independence Party (UKIP),Carmarthen East and Dinefwr,131,4363,11.1,7.7,,W07000067,W92000004,Dyfed,Wales,Wales,County,UK Independence Party,UKIP
Ben,Rice,Wales Green Party,Carmarthen East and Dinefwr,131,1091,2.8,,,W07000067,W92000004,Dyfed,Wales,Wales,County,Green,Green
Sara,Lloyd-Williams,Welsh Liberal Democrats - Democratiaid Rhyddfrydol Cymru,Carmarthen East and Dinefwr,131,928,2.4,-9.8,,W07000067,W92000004,Dyfed,Wales,Wales,County,Liberal Democrat,LD
Chris,Davies,Welsh Conservative Party Candidate/Ymgeisydd Plaid Geidwadol Cymru,Brecon and Radnorshire,89,16453,41.1,4.6,,W07000068,W92000004,Powys,Wales,Wales,County,Conservative,Con
Roger,Williams,Welsh Liberal Democrats - Democratiaid Rhyddfrydol Cymru,Brecon and Radnorshire,89,11351,28.3,-17.8,MP,W07000068,W92000004,Powys,Wales,Wales,County,Liberal Democrat,LD
Matthew,Dorrance,Welsh Labour/Llafur Cymru,Brecon and Radnorshire,89,5904,14.7,4.2,,W07000068,W92000004,Powys,Wales,Wales,County,Labour,Lab
Darran,Thomas,UK Independence Party (UK I P),Brecon and Radnorshire,89,3338,8.3,6.1,,W07000068,W92000004,Powys,Wales,Wales,County,UK Independence Party,UKIP
Freddy,Greaves,Plaid Cymru - The Party of Wales,Brecon and Radnorshire,89,1767,4.4,1.9,,W07000068,W92000004,Powys,Wales,Wales,County,Plaid Cymru,PC
Chris,Carmichael,Green Party/Plaid Werdd,Brecon and Radnorshire,89,1261,3.2,2.3,,W07000068,W92000004,Powys,Wales,Wales,County,Green,Green
Christina,Rees,Welsh Labour/Llafur Cymru,Neath,408,16270,43.8,-2.5,,W07000069,W92000004,West Glamorgan,Wales,Wales,County,Labour,Lab
Daniel,Thomas,Plaid Cymru - The Party of Wales,Neath,408,6722,18.1,-1.8,,W07000069,W92000004,West Glamorgan,Wales,Wales,County,Plaid Cymru,PC
Richard,Pritchard,UK Independence Party (UKIP),Neath,408,6094,16.4,14.2,,W07000069,W92000004,West Glamorgan,Wales,Wales,County,UK Independence Party,UKIP
Ed,Hastie,Welsh Conservative Party Candidate/Ymgeisydd Plaid Geidwadol Cymru,Neath,408,5691,15.3,2.3,,W07000069,W92000004,West Glamorgan,Wales,Wales,County,Conservative,Con
Catrin,Brock,Green Party/Plaid Werdd,Neath,408,1185,3.2,,,W07000069,W92000004,West Glamorgan,Wales,Wales,County,Green,Green
Clare,Bentley,Welsh Liberal Democrats - Democratiaid Rhyddfrydol Cymru,Neath,408,1173,3.2,-11.8,,W07000069,W92000004,West Glamorgan,Wales,Wales,County,Liberal Democrat,LD
Ann,Clwyd,Welsh Labour/Llafur Cymru,Cynon Valley,174,14532,47.7,-4.8,MP,W07000070,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Labour,Lab
Cerith,Griffiths,Plaid Cymru - The Party of Wales,Cynon Valley,174,5126,16.8,-3.5,,W07000070,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Plaid Cymru,PC
Rebecca,Rees-Evans,UKIP,Cynon Valley,174,4976,16.3,13,,W07000070,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,UK Independence Party,UKIP
Keith,Dewhurst,Welsh Conservative Party Candidate/Ymgeisydd Plaid Geidwadol Cymru,Cynon Valley,174,3676,12.1,2,,W07000070,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Conservative,Con
Angharad,Jones,Welsh Liberal Democrats - Democratiaid Rhyddfrydol Cymru,Cynon Valley,174,830,2.7,-11.1,,W07000070,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Liberal Democrat,LD
John,Matthews,Wales Green Party,Cynon Valley,174,799,2.6,,,W07000070,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Green,Green
Chris ,Beggs,Socialist Labour Party/Plaid Lafur Sosialaidd,Cynon Valley,174,533,1.8,,,W07000070,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Socialist Labour Party,SLP
Gerald,Jones,Welsh Labour/Llafur Cymru,Merthyr Tydfil and Rhymney,393,17619,53.9,10.2,,W07000071,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Labour,Lab
David,Rowlands,UKIP,Merthyr Tydfil and Rhymney,393,6106,18.7,16,,W07000071,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,UK Independence Party,UKIP
Bill,Rees,Welsh Conservative Party Candidate/Ymgeisydd Plaid Geidwadol Cymru,Merthyr Tydfil and Rhymney,393,3292,10.1,2.5,,W07000071,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Conservative,Con
Rhayna,Mann,Plaid Cymru - The Party of Wales,Merthyr Tydfil and Rhymney,393,3099,9.5,4.4,,W07000071,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Plaid Cymru,PC
Bob,Griffin,Welsh Liberal Democrats,Merthyr Tydfil and Rhymney,393,1351,4.1,-26.9,,W07000071,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Liberal Democrat,LD
Elspeth,Parris,Green Party/Plaid Werdd,Merthyr Tydfil and Rhymney,393,603,1.8,,,W07000071,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Green,Green
Eddy,Blanche,Independent/Annibynnol,Merthyr Tydfil and Rhymney,393,459,1.4,,,W07000071,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Independent,Ind
Robert,Griffiths,Communist Party,Merthyr Tydfil and Rhymney,393,186,0.6,,,W07000071,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Communist Party of Britain,Comm
Nick,Smith,Welsh Labour/Llafur Cymru,Blaenau Gwent,71,18380,58,5.6,MP,W07000072,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Labour,Lab
Susan,Boucher,UK Independence Party (UKIP),Blaenau Gwent,71,5677,17.9,16.4,,W07000072,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,UK Independence Party,UKIP
Tracey,West,Welsh Conservative Party Candidate/Ymgeisydd Plaid Geidwadol Cymru,Blaenau Gwent,71,3419,10.8,3.8,,W07000072,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Conservative,Con
Steffan,Lewis,Plaid Cymru - The Party of Wales,Blaenau Gwent,71,2849,9,4.9,,W07000072,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Plaid Cymru,PC
Mark,Pond,Green Party/Plaid Werdd,Blaenau Gwent,71,738,2.3,,,W07000072,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Green,Green
Samuel,Rees,Welsh Liberal Democrats,Blaenau Gwent,71,620,2,-8.2,,W07000072,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Liberal Democrat,LD
Madeleine,Moon,Welsh Labour/Llafur Cymru,Bridgend,94,14624,37.1,0.7,MP,W07000073,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Labour,Lab
Meirion,Jenkins,Welsh Conservative Party Candidate/Ymgeisydd Plaid Geidwadol Cymru,Bridgend,94,12697,32.2,1.8,,W07000073,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Conservative,Con
Caroline,Jones,UKIP,Bridgend,94,5911,15,12.9,,W07000073,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,UK Independence Party,UKIP
James,Radcliffe,Plaid Cymru - The Party of Wales,Bridgend,94,2784,7.1,1.1,,W07000073,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Plaid Cymru,PC
Anita,Davies,Liberal Democrat,Bridgend,94,1648,4.2,-18.4,,W07000073,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Liberal Democrat,LD
Les,Tallon-Morris,Independent,Bridgend,94,763,1.9,,,W07000073,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Independent,Ind
Tony,White,Green Party / Plaid Werdd,Bridgend,94,736,1.9,,,W07000073,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Green,Green
Aaron,David,Trade Unionist and Socialist Coalition,Bridgend,94,118,0.3,,,W07000073,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Trade Unionist and Socialist Coalition,TUSC
David,Elston,Official Pirate Party Candidate,Bridgend,94,106,0.3,,,W07000073,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Pirate Party,Pirate
Adam,Lloyd,National Front,Bridgend,94,66,0.2,,,W07000073,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,National Front,NF
Huw,Irranca-Davies,Welsh Labour/Llafur Cymru,Ogmore,437,18663,52.9,-0.9,MP,W07000074,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Labour,Lab
Jane,March,Welsh Conservative Party Candidate/Ymgeisydd Plaid Geidwadol Cymru,Ogmore,437,5620,15.9,0.4,,W07000074,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Conservative,Con
Glenda,Davies,UK Independence Party (UKIP),Ogmore,437,5420,15.4,13.1,,W07000074,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,UK Independence Party,UKIP
Tim,Thomas,Plaid Cymru - The Party of Wales,Ogmore,437,3556,10.1,0.5,,W07000074,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Plaid Cymru,PC
Gerald,Francis,Welsh Liberal Democrats,Ogmore,437,1072,3,-12.1,,W07000074,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Liberal Democrat,LD
Laurie,Brophy,Green Party/Plaid Werdd,Ogmore,437,754,2.1,,,W07000074,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Green,Green
Emma,Saunders,Trade Unionist and Socialist Coalition,Ogmore,437,165,0.5,,,W07000074,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Trade Unionist and Socialist Coalition,TUSC
Owen,Smith,Welsh Labour/Llafur Cymru,Pontypridd,454,15554,41.1,2.3,MP,W07000075,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Labour,Lab
Ann-Marie,Mason,Welsh Conservative Party Candidate/Ymgeisydd Plaid Geidwadol Cymru,Pontypridd,454,6569,17.3,1.2,,W07000075,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Conservative,Con
Andrew,Tomkinson,UKIP,Pontypridd,454,5085,13.4,10.1,,W07000075,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,UK Independence Party,UKIP
Mike,Powell,Welsh Liberal Democrats - Democratiaid Rhyddfrydol Cymru,Pontypridd,454,4904,13,-18.2,,W07000075,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Liberal Democrat,LD
Osian,Lewis,Plaid Cymru - The Party of Wales,Pontypridd,454,4348,11.5,4.2,,W07000075,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Plaid Cymru,PC
Katy,Clay,Wales Green Party,Pontypridd,454,992,2.6,1.6,,W07000075,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Green,Green
Damien ,Biggs,Socialist Labour Party/Plaid Lafur Sosialaidd,Pontypridd,454,332,0.9,-0.4,,W07000075,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Socialist Labour Party,SLP
Esther,Pearson,Trade Unionist and Socialist Coalition,Pontypridd,454,98,0.3,,,W07000075,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Trade Unionist and Socialist Coalition,TUSC
Wayne,David,Welsh Labour/Llafur Cymru,Caerphilly,114,17864,44.4,-0.6,MP,W07000076,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Labour,Lab
Sam,Gould,UKIP,Caerphilly,114,7791,19.3,17,,W07000076,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,UK Independence Party,UKIP
Leo,Docherty,Welsh Conservative Party Candidate,Caerphilly,114,6683,16.6,-0.5,,W07000076,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Conservative,Con
Beci,Newton,Plaid Cymru - The Party of Wales,Caerphilly,114,5895,14.6,-2.1,,W07000076,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Plaid Cymru,PC
Katy,Beddoe,Wales Green Party,Caerphilly,114,937,2.3,0,,W07000076,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Green,Green
Aladdin,Ayesh,Welsh Liberal Democrats,Caerphilly,114,935,2.3,-12.4,,W07000076,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Liberal Democrat,LD
Jaime,Davies,Trade Unionist and Socialist Coalition,Caerphilly,114,178,0.4,0,,W07000076,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Trade Unionist and Socialist Coalition,TUSC
Chris,Evans,Labour and Co-operative Party,Islwyn,336,17336,49,-0.2,MP,W07000077,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Labour and Co-operative,Lab
Joe,Smyth,UKIP,Islwyn,336,6932,19.6,16.9,,W07000077,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,UK Independence Party,UKIP
Laura,Jones,Welsh Conservative Party Candidate/Ymgeisydd Plaid Geidwadol Cymru,Islwyn,336,5366,15.2,1.2,,W07000077,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Conservative,Con
Lyn,Ackerman,Plaid Cymru - The Party of Wales,Islwyn,336,3794,10.7,-2.3,,W07000077,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Plaid Cymru,PC
Brendan,D'Cruz,Welsh Liberal Democrats,Islwyn,336,950,2.7,-7.7,,W07000077,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Liberal Democrat,LD
Peter,Varley,Wales Green Party,Islwyn,336,659,1.9,,,W07000077,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Green,Green
Von,Von Magpie,The Official Monster Raving Loony Party,Islwyn,336,213,0.6,,,W07000077,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Monster Raving Loony Party,MRLP
Josh,Rawcliffe,Trade Unionist and Socialist Coalition,Islwyn,336,151,0.4,,,W07000077,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Trade Unionist and Socialist Coalition,TUSC
Alun,Cairns,Welsh Conservative Party Candidate/Ymgeisydd Plaid Geidwadol Cymru,Vale Of Glamorgan,589,23607,46,4.2,MP,W07000078,W92000004,South Glamorgan,Wales,Wales,County,Conservative,Con
Chris,Elmore,Welsh Labour/Llafur Cymru,Vale Of Glamorgan,589,16727,32.6,-0.3,,W07000078,W92000004,South Glamorgan,Wales,Wales,County,Labour,Lab
Kevin,Mahoney,UKIP,Vale Of Glamorgan,589,5489,10.7,7.6,,W07000078,W92000004,South Glamorgan,Wales,Wales,County,UK Independence Party,UKIP
Ian,Johnson,Plaid Cymru - The Party of Wales,Vale Of Glamorgan,589,2869,5.6,0.1,,W07000078,W92000004,South Glamorgan,Wales,Wales,County,Plaid Cymru,PC
David,Morgan,Welsh Liberal Democrats - Democratiaid Rhyddfrydol Cymru,Vale Of Glamorgan,589,1309,2.6,-12.7,,W07000078,W92000004,South Glamorgan,Wales,Wales,County,Liberal Democrat,LD
Alan,Armstrong,Green Party/Plaid Werdd,Vale Of Glamorgan,589,1054,2.1,1.1,,W07000078,W92000004,South Glamorgan,Wales,Wales,County,Green,Green
Steve,Reed,Cannabis is Safer than Alcohol,Vale Of Glamorgan,589,238,0.5,,,W07000078,W92000004,South Glamorgan,Wales,Wales,County,Cannabis is Safer than Alcohol Party,CISTAP
Kevin,Brennan,Welsh Labour/Llafur Cymru,Cardiff West,129,17803,40.7,-0.6,MP,W07000079,W92000004,South Glamorgan,Wales,Wales,Borough,Labour,Lab
James,Taghdissian,Welsh Conservative Party Candidate/Ymgeisydd Plaid Geidwadol Cymru,Cardiff West,129,11014,25.2,-4.5,,W07000079,W92000004,South Glamorgan,Wales,Wales,Borough,Conservative,Con
Neil,McEvoy,Plaid Cymru - The Party of Wales,Cardiff West,129,6096,13.9,6.9,,W07000079,W92000004,South Glamorgan,Wales,Wales,Borough,Plaid Cymru,PC
Brian,Morris,UKIP,Cardiff West,129,4923,11.2,8.5,,W07000079,W92000004,South Glamorgan,Wales,Wales,Borough,UK Independence Party,UKIP
Cadan,ap Tomos,Welsh Liberal Democrats - Democratiaid Rhyddfrydol Cymru,Cardiff West,129,2069,4.7,-12.8,,W07000079,W92000004,South Glamorgan,Wales,Wales,Borough,Liberal Democrat,LD
Ken,Barker,The Green Party/Plaid Werdd,Cardiff West,129,1704,3.9,2.1,,W07000079,W92000004,South Glamorgan,Wales,Wales,Borough,Green,Green
Helen,Jones,Trade Unionist and Socialist Coalition,Cardiff West,129,183,0.4,,,W07000079,W92000004,South Glamorgan,Wales,Wales,Borough,Trade Unionist and Socialist Coalition,TUSC
Stephen,Doughty,Labour and Co-operative Party,Cardiff South and Penarth,128,19966,42.8,3.9,MP,W07000080,W92000004,South Glamorgan,Wales,Wales,Borough,Labour and Co-operative,Lab
Emma,Warman,Welsh Conservative Party Candidate,Cardiff South and Penarth,128,12513,26.8,-1.5,,W07000080,W92000004,South Glamorgan,Wales,Wales,Borough,Conservative,Con
John,Rees-Evans,UKIP,Cardiff South and Penarth,128,6423,13.8,11.2,,W07000080,W92000004,South Glamorgan,Wales,Wales,Borough,UK Independence Party,UKIP
Ben,Foday,Plaid Cymru - The Party of Wales,Cardiff South and Penarth,128,3443,7.4,3.2,,W07000080,W92000004,South Glamorgan,Wales,Wales,Borough,Plaid Cymru,PC
Nigel,Howells,Welsh Liberal Democrats - Democratiaid Rhyddfrydol Cymru,Cardiff South and Penarth,128,2318,5,-17.3,,W07000080,W92000004,South Glamorgan,Wales,Wales,Borough,Liberal Democrat,LD
Anthony,Slaughter,Green Party/Plaid Werdd,Cardiff South and Penarth,128,1746,3.7,2.5,,W07000080,W92000004,South Glamorgan,Wales,Wales,Borough,Green,Green
Ross,Saunders,Trade Unionist and Socialist Coalition,Cardiff South and Penarth,128,258,0.6,,,W07000080,W92000004,South Glamorgan,Wales,Wales,Borough,Trade Unionist and Socialist Coalition,TUSC
